,GroupID,MemberID,HomePlanet,Destination,CryoSleep,VIP,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Cabin_num,Side,Transported
48,50,1,0,1,0,0,35,790.0,0.0,0.0,0.0,0.0,2,1,0,0
49,51,1,0,0,0,0,56,0.0,112.0,0.0,1379.0,127.0,2,2,0,0
50,52,1,0,0,0,0,0,4.0,0.0,2.0,4683.0,0.0,1,6,0,0
51,53,1,0,0,0,0,25,0.0,0.0,1938.0,0.0,1.0,0,11,0,1
52,56,1,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,6,1,0,1
53,56,2,1,0,1,0,38,0.0,0.0,0.0,0.0,0.0,6,1,0,1
54,56,3,1,0,0,0,27,279.0,605.0,3374.0,286.0,3.0,6,1,0,1
55,58,1,0,2,1,0,36,0.0,0.0,0.0,0.0,0.0,1,7,0,0
56,61,1,0,0,0,0,22,45.0,1096.0,148.0,1377.0,1.0,0,12,0,0
57,62,1,0,0,0,0,62,0.0,592.0,0.0,17.0,25.0,0,13,0,0
58,64,1,2,0,1,0,15,0.0,0.0,0.0,0.0,0.0,0,14,0,1
59,64,2,3,0,1,0,33,0.0,0.0,0.0,0.0,0.0,2,3,0,1
60,66,1,0,0,0,0,62,1.0,153.0,197.0,0.0,460.0,1,6,1,0
61,67,1,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,1,10,0,1
62,67,2,0,0,0,0,18,1.0,258.0,446.0,0.0,0.0,1,10,0,1
63,67,3,0,1,0,0,21,1946.0,37.0,0.0,0.0,24.0,0,15,0,0
64,68,1,2,0,0,0,0,793.0,0.0,2.0,253.0,0.0,2,4,0,0
65,69,1,0,0,0,0,42,887.0,0.0,9.0,6.0,0.0,0,16,0,1
66,70,1,0,0,0,0,19,190.0,0.0,5.0,1.0,726.0,0,13,1,0
67,71,1,0,0,0,0,17,16.0,2165.0,0.0,0.0,52.0,0,14,1,0
68,72,1,0,0,0,0,14,0.0,1.0,0.0,0.0,1063.0,0,17,0,0
69,73,1,2,2,0,0,37,46.0,83.0,738.0,0.0,12.0,5,3,1,0
70,74,1,1,0,0,0,42,1.0,8397.0,0.0,0.0,506.0,4,3,0,1
71,76,1,2,0,0,0,27,147.0,0.0,1018.0,0.0,0.0,0,18,0,1
72,77,1,2,0,0,0,28,14.0,0.0,1295.0,0.0,0.0,0,15,1,1
73,78,1,1,0,0,0,38,0.0,5840.0,0.0,321.0,9654.0,4,4,0,0
74,81,1,0,0,1,0,13,0.0,0.0,0.0,0.0,0.0,1,13,0,0
75,82,1,2,0,0,0,42,7406.0,0.0,0.0,0.0,0.0,0,16,1,0
76,82,2,2,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0,16,1,1
77,82,3,2,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0,16,1,1
78,84,1,0,0,0,0,24,688.0,0.0,0.0,0.0,17.0,1,14,0,1
79,85,1,1,0,1,0,40,0.0,0.0,0.0,0.0,0.0,4,5,0,1
80,86,1,0,0,0,0,43,211.0,0.0,0.0,638.0,513.0,0,17,1,0
81,88,1,2,2,1,0,45,0.0,0.0,0.0,0.0,0.0,2,5,0,1
82,90,1,0,0,1,0,35,0.0,0.0,0.0,0.0,0.0,1,15,0,1
83,91,1,0,0,1,0,26,0.0,0.0,0.0,0.0,0.0,1,16,0,1
84,91,2,0,0,0,0,27,1.0,697.0,31.0,188.0,0.0,0,20,0,0
85,92,1,0,0,0,0,19,0.0,0.0,670.0,1.0,34.0,1,9,1,0
86,92,2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1,9,1,1
87,92,3,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,1,9,1,1
88,97,1,1,0,0,0,54,0.0,1208.0,0.0,3.0,637.0,6,2,0,0
89,98,1,0,0,0,0,26,0.0,856.0,5.0,32.0,0.0,1,11,1,0
90,98,2,0,0,0,0,26,0.0,2811.0,957.0,0.0,87.0,1,11,1,1
91,99,1,0,2,0,0,23,311.0,427.0,526.0,37.0,0.0,0,19,1,0
92,99,2,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1,12,1,1
93,101,1,2,0,1,0,31,0.0,0.0,0.0,0.0,0.0,7,-1,2,1
94,102,1,0,0,0,0,18,0.0,0.0,0.0,830.0,91.0,0,23,0,0
95,103,1,0,0,0,0,24,0.0,0.0,0.0,0.0,17.0,0,24,0,1
96,103,2,0,1,1,0,9,0.0,0.0,0.0,0.0,0.0,1,18,0,1
97,103,3,0,0,1,0,6,0.0,0.0,0.0,0.0,0.0,1,18,0,0
98,105,1,0,0,0,0,27,0.0,0.0,570.0,2.0,131.0,0,21,1,0
99,107,1,2,0,0,0,21,1743.0,5.0,17.0,0.0,0.0,5,2,0,0
100,108,1,0,0,1,0,23,0.0,0.0,0.0,0.0,0.0,1,19,0,0
101,108,2,0,0,0,0,31,562.0,0.0,326.0,0.0,0.0,1,19,0,0
102,108,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,19,0,1
103,110,1,1,0,0,0,32,0.0,410.0,6.0,3929.0,764.0,7,-1,2,0
104,110,2,1,0,0,0,40,0.0,331.0,0.0,0.0,1687.0,3,5,1,0
105,110,3,1,0,0,0,42,2209.0,11418.0,0.0,1868.0,445.0,3,5,1,1
106,110,4,1,0,1,0,28,0.0,0.0,0.0,0.0,0.0,3,5,1,1
107,111,1,1,0,1,0,29,0.0,0.0,0.0,0.0,0.0,2,6,0,1
108,112,1,1,1,0,1,48,0.0,2537.0,87.0,17.0,13.0,3,1,0,1
109,113,1,0,0,0,0,64,0.0,0.0,804.0,0.0,0.0,0,23,1,1
110,114,1,0,0,0,0,27,82.0,157.0,429.0,238.0,1.0,1,20,0,0
111,115,1,2,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0,24,1,1
112,116,1,1,0,0,0,33,1.0,2223.0,0.0,12.0,404.0,5,4,1,1
113,119,1,3,0,0,0,39,0.0,2344.0,0.0,65.0,6898.0,6,0,1,0
114,119,2,1,0,1,0,13,0.0,0.0,0.0,0.0,0.0,6,0,1,1
115,120,1,2,0,1,0,24,0.0,0.0,0.0,0.0,0.0,0,25,1,1
116,122,1,0,0,0,0,29,0.0,0.0,0.0,699.0,74.0,1,21,0,0
117,123,1,0,0,0,0,18,55.0,597.0,49.0,0.0,1.0,0,27,1,0
118,126,1,2,0,1,0,67,0.0,0.0,0.0,0.0,0.0,0,27,0,1
119,127,1,2,0,0,0,35,701.0,0.0,296.0,0.0,25.0,2,7,0,0
120,128,1,2,0,0,1,61,2353.0,334.0,9.0,316.0,2.0,5,3,0,0
121,128,2,2,0,0,0,45,2103.0,6.0,0.0,0.0,0.0,2,8,0,0
122,129,1,0,2,1,0,22,0.0,0.0,0.0,0.0,0.0,1,22,0,1
123,133,1,2,0,1,0,19,0.0,0.0,0.0,0.0,0.0,0,29,0,1
124,133,2,2,0,0,0,36,2738.0,0.0,0.0,0.0,0.0,5,5,0,0
125,134,1,0,0,0,0,19,0.0,14.0,730.0,0.0,0.0,1,17,1,1
126,136,1,0,2,0,0,47,97.0,418.0,126.0,25.0,55.0,1,23,0,0
127,138,1,0,0,1,0,13,0.0,0.0,0.0,0.0,0.0,1,18,1,1
128,138,2,0,3,0,0,34,0.0,22.0,0.0,564.0,207.0,2,5,1,0
129,139,1,1,1,1,0,35,0.0,0.0,0.0,0.0,0.0,4,6,0,1
130,140,1,0,0,1,0,24,0.0,0.0,0.0,0.0,0.0,1,19,1,1
131,140,2,0,0,0,0,26,440.0,0.0,0.0,0.0,462.0,0,29,1,0
132,141,1,2,0,0,0,31,0.0,0.0,97.0,0.0,0.0,0,30,1,0
133,144,1,0,0,0,0,20,0.0,420.0,210.0,0.0,0.0,0,31,0,1
134,146,1,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,1,25,0,0
135,147,1,0,0,1,0,50,0.0,0.0,0.0,0.0,0.0,1,26,0,1
136,148,1,2,0,0,0,42,1072.0,0.0,10.0,0.0,76.0,0,31,1,0
137,149,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1,27,0,1
138,151,1,0,1,1,0,38,0.0,0.0,0.0,0.0,0.0,1,20,1,0
139,152,1,0,3,0,0,41,0.0,0.0,0.0,0.0,607.0,0,32,1,0
140,160,1,0,0,0,0,22,4119.0,0.0,0.0,0.0,61.0,1,22,1,0
141,163,1,1,0,1,0,26,0.0,0.0,0.0,0.0,0.0,3,8,1,1
142,163,2,1,0,1,0,17,0.0,0.0,0.0,0.0,0.0,3,8,1,1
143,164,1,0,0,0,0,57,50.0,1688.0,0.0,0.0,135.0,1,28,0,1
144,164,2,0,2,1,0,17,0.0,0.0,0.0,0.0,0.0,1,28,0,0
145,165,1,2,0,1,0,35,0.0,0.0,0.0,0.0,0.0,0,37,1,1
146,167,1,2,0,1,0,13,0.0,0.0,0.0,0.0,0.0,0,35,0,1
147,167,2,2,0,0,0,27,1365.0,0.0,48.0,22.0,137.0,0,35,0,0
148,169,1,0,0,1,0,31,0.0,0.0,0.0,0.0,0.0,1,23,1,0
149,170,1,0,0,0,0,24,0.0,0.0,0.0,221.0,567.0,2,10,0,0
150,171,1,0,2,1,0,19,0.0,0.0,0.0,0.0,0.0,1,30,0,1
151,172,1,0,0,1,0,32,0.0,0.0,0.0,0.0,0.0,1,24,1,1
152,173,1,0,0,0,0,58,0.0,985.0,0.0,5.0,0.0,2,11,0,1
153,174,1,0,1,0,0,21,287.0,0.0,16.0,115.0,175.0,0,38,1,0
154,177,1,1,0,0,0,38,0.0,10346.0,1.0,14970.0,2111.0,3,2,0,0
155,178,1,2,0,0,0,38,3414.0,0.0,161.0,28.0,119.0,5,6,0,0
156,179,1,0,0,0,0,19,1.0,219.0,673.0,2.0,11.0,1,26,1,1
157,179,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,26,1,0
158,179,3,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1,26,1,1
159,181,1,0,0,0,0,20,0.0,0.0,3.0,299.0,92.0,1,27,1,0
160,182,1,1,0,1,0,24,0.0,0.0,0.0,0.0,0.0,4,3,1,1
161,183,1,0,0,0,0,37,17.0,146.0,426.0,0.0,232.0,0,36,0,1
162,186,1,0,0,0,0,25,62.0,0.0,0.0,0.0,956.0,1,28,1,0
163,188,1,0,0,1,0,56,0.0,0.0,0.0,0.0,0.0,1,31,0,1
164,189,1,0,1,0,0,49,84.0,3.0,401.0,202.0,98.0,2,8,1,0
165,190,1,0,1,1,0,11,0.0,0.0,0.0,0.0,0.0,1,32,0,0
166,192,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,29,1,1
167,192,2,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,1,29,1,0
168,192,3,0,0,0,0,39,0.0,0.0,10.0,898.0,0.0,1,29,1,0
169,193,1,2,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0,41,1,1
170,193,2,2,0,0,0,23,0.0,0.0,8.0,1072.0,0.0,0,41,1,0
171,193,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,41,1,1
172,195,1,2,0,0,0,39,406.0,0.0,867.0,0.0,0.0,0,42,1,1
173,196,1,2,2,0,0,25,1052.0,0.0,719.0,0.0,7.0,5,5,1,0
174,197,1,1,0,0,0,36,0.0,972.0,0.0,795.0,575.0,4,5,1,0
175,198,1,0,2,0,0,52,0.0,0.0,0.0,0.0,0.0,1,30,1,1
176,199,1,0,0,1,0,18,0.0,0.0,0.0,0.0,0.0,1,33,0,0
177,200,1,0,0,1,0,15,0.0,0.0,0.0,0.0,0.0,1,31,1,1
178,201,1,1,0,1,0,35,0.0,0.0,0.0,0.0,0.0,3,3,0,1
179,201,2,1,0,1,0,47,0.0,0.0,0.0,0.0,0.0,3,3,0,1
180,202,1,1,1,1,0,45,0.0,0.0,0.0,0.0,0.0,3,9,1,1
181,202,2,1,1,0,0,0,0.0,2433.0,0.0,878.0,443.0,6,2,1,1
182,203,1,1,0,1,0,51,0.0,0.0,0.0,0.0,0.0,4,8,0,1
183,205,1,0,0,0,0,29,0.0,2.0,66.0,0.0,705.0,1,34,0,0
184,206,1,1,1,0,0,0,2.0,1720.0,12.0,1125.0,122.0,4,9,0,1
185,207,1,0,2,1,0,19,0.0,0.0,0.0,0.0,0.0,1,32,1,0
186,210,1,3,1,1,0,24,0.0,0.0,0.0,0.0,0.0,5,6,1,1
187,211,1,2,0,0,0,29,902.0,1.0,137.0,0.0,0.0,0,44,1,1
188,211,2,2,0,1,0,11,0.0,0.0,0.0,0.0,0.0,0,44,1,1
189,211,3,2,0,0,0,17,848.0,0.0,307.0,182.0,0.0,0,44,1,0
190,212,1,0,0,0,0,13,192.0,0.0,0.0,51.0,739.0,2,9,1,0
191,212,2,0,0,0,0,35,147.0,188.0,0.0,10.0,387.0,0,45,1,0
192,213,1,0,0,0,0,21,367.0,281.0,0.0,0.0,146.0,0,46,1,0
193,216,1,0,1,0,0,21,0.0,56.0,0.0,0.0,1918.0,0,40,0,0
194,217,1,0,0,0,0,38,1517.0,0.0,0.0,27.0,0.0,0,47,1,0
195,219,1,0,0,1,0,19,0.0,0.0,0.0,0.0,0.0,1,36,1,1
196,220,1,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1,37,1,1
197,220,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,37,1,1
198,220,3,0,0,1,0,13,0.0,0.0,0.0,0.0,0.0,1,37,1,0
199,220,4,0,0,0,0,25,122.0,84.0,0.0,0.0,0.0,2,10,1,0
200,220,5,0,0,0,0,16,0.0,3.0,0.0,0.0,1099.0,0,48,1,0
201,220,6,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1,37,1,0
202,220,7,0,0,1,0,15,0.0,0.0,0.0,0.0,0.0,1,37,1,1
203,221,1,2,1,0,0,21,2237.0,0.0,119.0,0.0,0.0,2,13,0,0
204,221,2,2,0,0,0,23,1215.0,80.0,1.0,2.0,0.0,2,13,0,0
205,221,3,2,0,0,0,33,1933.0,12.0,188.0,1.0,0.0,2,13,0,0
206,221,4,2,0,1,0,21,0.0,0.0,0.0,0.0,0.0,2,13,0,1
207,221,5,2,0,0,0,41,1230.0,0.0,301.0,43.0,1023.0,2,13,0,0
208,221,6,2,0,0,0,16,915.0,0.0,221.0,234.0,0.0,2,13,0,0
209,221,7,2,0,1,0,42,0.0,0.0,0.0,0.0,0.0,2,13,0,0
210,222,1,2,0,0,0,20,1406.0,0.0,0.0,11.0,0.0,0,41,0,0
211,222,2,2,0,1,0,24,0.0,0.0,0.0,0.0,0.0,0,41,0,1
212,222,3,2,0,1,0,16,0.0,0.0,0.0,0.0,0.0,2,14,0,1
213,223,1,0,0,0,0,21,0.0,2.0,665.0,0.0,9.0,1,35,0,0
214,224,1,2,0,0,1,32,181.0,0.0,5.0,1634.0,0.0,0,42,0,0
215,225,1,0,2,1,0,58,0.0,0.0,0.0,0.0,0.0,1,38,1,1
216,229,1,0,0,0,0,24,4.0,7.0,0.0,713.0,79.0,0,43,0,0
217,231,1,2,0,0,0,30,85.0,0.0,1.0,1720.0,0.0,0,44,0,0
218,232,1,0,2,1,0,27,0.0,0.0,0.0,0.0,0.0,1,36,0,0
219,233,1,2,0,0,0,32,56.0,0.0,256.0,1438.0,0.0,0,45,0,0
220,234,1,0,0,0,0,43,0.0,888.0,0.0,0.0,0.0,0,50,1,0
221,237,1,1,0,1,0,42,0.0,0.0,0.0,0.0,0.0,3,11,1,1
222,239,1,2,0,0,0,37,637.0,0.0,0.0,92.0,319.0,7,-1,2,0
223,240,1,2,0,1,0,35,0.0,0.0,0.0,0.0,0.0,0,52,1,1
224,241,1,1,1,0,0,33,0.0,1249.0,0.0,4812.0,1116.0,2,11,1,0
225,242,1,3,0,0,0,18,313.0,1.0,691.0,283.0,0.0,0,46,0,0
226,243,1,0,0,1,0,21,0.0,0.0,0.0,0.0,0.0,1,37,0,0
227,244,1,2,0,1,0,43,0.0,0.0,0.0,0.0,0.0,7,-1,2,1
228,244,2,2,1,1,0,14,0.0,0.0,0.0,0.0,0.0,0,47,0,1
229,245,1,1,1,0,0,46,0.0,3571.0,0.0,0.0,7.0,4,6,1,1
230,245,2,1,0,0,0,33,0.0,86.0,796.0,584.0,10912.0,4,6,1,0
231,246,1,2,0,0,0,21,2947.0,0.0,287.0,27.0,0.0,5,8,1,0
232,248,1,1,0,0,0,33,0.0,1.0,0.0,8620.0,1063.0,4,10,0,0
233,250,1,0,2,1,0,47,0.0,0.0,0.0,0.0,0.0,1,38,0,0
234,251,1,3,1,1,0,54,0.0,0.0,0.0,0.0,0.0,4,11,0,1
235,252,1,0,0,0,0,30,335.0,695.0,541.0,0.0,0.0,0,53,1,0
236,253,1,0,0,0,0,29,272.0,615.0,0.0,0.0,1.0,1,42,1,0
237,254,1,0,0,0,0,21,702.0,172.0,408.0,2.0,6.0,0,54,1,1
238,255,1,1,0,1,0,24,0.0,0.0,0.0,0.0,0.0,6,3,0,1
239,257,1,2,1,0,0,21,1664.0,0.0,0.0,0.0,0.0,0,49,0,0
240,257,2,2,0,1,0,60,0.0,0.0,0.0,0.0,0.0,0,49,0,1
241,258,1,0,0,0,0,22,0.0,0.0,313.0,299.0,92.0,0,50,0,0
242,260,1,1,0,0,0,26,0.0,4810.0,0.0,981.0,2054.0,2,16,0,0
243,261,1,0,0,0,0,26,66.0,29.0,0.0,0.0,803.0,0,56,1,0
244,263,1,0,0,1,0,28,0.0,0.0,0.0,0.0,0.0,1,43,1,1
245,265,1,1,0,1,0,39,0.0,0.0,0.0,0.0,0.0,5,8,0,1
246,267,1,0,0,0,0,13,118.0,0.0,0.0,754.0,1.0,0,51,0,0
247,269,1,0,1,0,0,47,0.0,231.0,592.0,0.0,0.0,0,52,0,1
248,270,1,0,0,0,0,63,0.0,25.0,128.0,0.0,1240.0,0,59,1,0
249,275,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,5,9,0,1
250,277,1,0,1,0,0,50,44.0,2390.0,0.0,53.0,0.0,0,61,1,1
251,278,1,0,0,0,0,35,0.0,0.0,0.0,888.0,0.0,7,-1,2,0
252,278,2,0,0,0,0,45,0.0,97.0,0.0,14.0,333.0,1,45,1,0
253,281,1,0,0,0,0,19,0.0,0.0,2078.0,0.0,0.0,0,63,1,1
254,282,1,0,0,0,0,21,0.0,918.0,0.0,0.0,0.0,0,54,0,1
255,283,1,0,2,1,0,29,0.0,0.0,0.0,0.0,0.0,1,46,1,1
256,283,2,0,0,0,0,22,146.0,654.0,1.0,0.0,2.0,0,64,1,1
257,285,1,1,0,1,0,14,0.0,0.0,0.0,0.0,0.0,2,16,1,1
258,285,2,1,1,1,0,42,0.0,0.0,0.0,0.0,0.0,2,16,1,1
259,286,1,0,1,0,0,57,3.0,1281.0,29.0,162.0,13.0,0,65,1,0
260,287,1,1,1,1,0,39,0.0,0.0,0.0,0.0,0.0,7,-1,2,1
261,287,2,1,0,0,0,28,0.0,587.0,32.0,6.0,1460.0,3,12,1,0
262,288,1,0,1,0,0,19,0.0,0.0,0.0,0.0,828.0,0,55,0,0
263,289,1,1,1,1,0,19,0.0,0.0,0.0,0.0,0.0,4,12,0,1
264,290,1,1,1,0,0,26,0.0,4458.0,0.0,1157.0,262.0,3,7,0,1
265,290,2,1,0,1,0,17,0.0,0.0,0.0,0.0,0.0,3,7,0,1
266,290,3,1,0,0,0,43,0.0,0.0,0.0,0.0,0.0,3,7,0,1
267,290,4,1,1,0,0,9,0.0,0.0,0.0,0.0,0.0,3,7,0,1
268,291,1,1,0,0,0,40,0.0,6500.0,88.0,1090.0,0.0,5,10,0,1
269,294,1,1,0,1,0,50,0.0,0.0,0.0,0.0,0.0,3,8,0,1
270,297,1,0,0,0,0,24,90.0,2.0,1324.0,17.0,0.0,1,47,1,1
271,298,1,1,1,1,0,57,0.0,0.0,0.0,0.0,0.0,6,3,1,1
272,301,1,0,0,1,0,16,0.0,0.0,0.0,0.0,0.0,7,-1,2,0
273,302,1,0,0,0,0,23,0.0,0.0,15.0,0.0,1370.0,0,67,1,0
274,303,1,3,0,1,0,23,0.0,0.0,0.0,0.0,0.0,1,41,0,1
275,304,1,1,0,0,0,28,0.0,422.0,0.0,1851.0,5166.0,2,18,0,0
276,305,1,1,1,0,0,23,0.0,584.0,0.0,20.0,2469.0,4,7,1,0
277,306,1,0,0,0,0,23,368.0,175.0,259.0,1.0,101.0,2,19,0,0
278,307,1,0,0,0,0,18,0.0,0.0,1359.0,0.0,0.0,0,59,0,1
279,309,1,0,0,0,0,18,1194.0,0.0,157.0,6.0,0.0,0,60,0,0
280,310,1,1,0,0,0,67,0.0,230.0,0.0,4476.0,241.0,7,-1,2,0
281,313,1,0,2,0,0,60,7.0,540.0,1.0,0.0,4.0,0,68,1,1
282,313,2,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1,50,1,1
283,313,3,0,1,0,0,49,331.0,0.0,0.0,318.0,0.0,0,68,1,1
284,313,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,50,1,1
285,314,1,0,1,0,0,26,386.0,0.0,74.0,0.0,1330.0,1,51,1,0
286,315,1,3,2,1,0,35,0.0,0.0,0.0,0.0,0.0,1,42,0,1
287,316,1,1,0,0,0,24,0.0,2628.0,0.0,170.0,0.0,3,9,0,1
288,316,2,1,0,1,0,20,0.0,0.0,0.0,0.0,0.0,3,9,0,1
289,320,1,0,0,0,0,18,0.0,2.0,0.0,0.0,0.0,1,44,0,0
290,320,2,0,0,0,0,21,0.0,5.0,3.0,0.0,0.0,1,44,0,0
291,321,1,3,0,0,1,59,1018.0,0.0,209.0,0.0,0.0,0,61,0,0
292,322,1,0,2,1,0,13,0.0,0.0,0.0,0.0,0.0,1,45,0,0
293,324,1,0,1,1,0,43,0.0,0.0,0.0,0.0,0.0,1,53,1,0
294,326,1,0,0,1,0,29,0.0,0.0,0.0,0.0,0.0,1,47,0,0
295,327,1,0,0,0,0,19,17.0,0.0,784.0,0.0,2.0,7,-1,2,1
296,330,1,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,4,14,0,1
297,330,2,1,0,0,0,32,247.0,4651.0,0.0,46.0,202.0,4,14,0,1
298,330,3,1,0,0,0,33,443.0,317.0,0.0,148.0,1260.0,4,14,0,0
299,331,1,0,0,0,0,25,0.0,0.0,251.0,0.0,552.0,0,72,1,0
300,333,1,2,1,1,0,29,0.0,0.0,0.0,0.0,0.0,0,73,1,1
301,334,1,2,0,0,0,29,5715.0,2.0,211.0,1476.0,0.0,0,62,0,0
302,336,1,0,0,0,0,44,695.0,1.0,16.0,0.0,0.0,0,74,1,0
303,337,1,2,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0,63,0,1
304,337,2,2,0,0,0,19,417.0,349.0,634.0,3.0,1057.0,0,63,0,1
305,337,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,63,0,1
306,338,1,0,0,1,0,18,0.0,0.0,0.0,0.0,0.0,1,48,0,1
307,340,1,1,1,1,0,38,0.0,0.0,0.0,0.0,0.0,3,10,0,1
308,341,1,0,2,1,0,5,0.0,0.0,0.0,0.0,0.0,1,57,1,0
309,343,1,0,2,0,0,31,121.0,0.0,0.0,274.0,907.0,0,76,1,0
310,345,1,2,0,1,0,30,0.0,0.0,0.0,0.0,0.0,2,21,0,0
